folder,inner_folder,method,R,quartet_score
15-taxon,1000gene-1000bp/estimated-genetrees,OG,9,1365
15-taxon,1000gene-1000bp/estimated-genetrees,RD,9,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,9,1365
15-taxon,1000gene-1000bp/estimated-genetrees,MP,10,1353
15-taxon,1000gene-1000bp/estimated-genetrees,MV,10,1353
15-taxon,1000gene-1000bp/estimated-genetrees,OG,10,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RD,10,1353
15-taxon,1000gene-1000bp/estimated-genetrees,RAND,10,1311
15-taxon,1000gene-true,MP,1,1365
15-taxon,1000gene-true,MV,1,1365
15-taxon,1000gene-true,OG,1,1365
15-taxon,1000gene-true,MP,2,1365
15-taxon,1000gene-true,MV,2,1365
15-taxon,1000gene-true,OG,2,1365
15-taxon,1000gene-true,MP,3,1365
15-taxon,1000gene-true,MV,3,1365
15-taxon,1000gene-true,OG,3,1365
15-taxon,1000gene-true,MP,4,1365
15-taxon,1000gene-true,MV,4,1365
15-taxon,1000gene-true,OG,4,1365
15-taxon,1000gene-true,MP,5,1365
15-taxon,1000gene-true,MV,5,1365
15-taxon,1000gene-true,OG,5,1365
15-taxon,1000gene-true,MP,6,1365
15-taxon,1000gene-true,MV,6,1365
15-taxon,1000gene-true,OG,6,1365
15-taxon,1000gene-true,MP,7,1365
15-taxon,1000gene-true,MV,7,1365
15-taxon,1000gene-true,OG,7,1365
15-taxon,1000gene-true,MP,8,1365
15-taxon,1000gene-true,MV,8,1365
15-taxon,1000gene-true,OG,8,1365
15-taxon,1000gene-true,MP,9,1365
15-taxon,1000gene-true,MV,9,1365
15-taxon,1000gene-true,OG,9,1365
15-taxon,1000gene-true,MP,10,1365
15-taxon,1000gene-true,MV,10,1365
15-taxon,1000gene-true,OG,10,1365
37-taxon,estimated-genetrees/0.5X-200-500,MP,1,65469
37-taxon,estimated-genetrees/0.5X-200-500,MV,1,65469
37-taxon,estimated-genetrees/0.5X-200-500,OG,1,65469
37-taxon,estimated-genetrees/0.5X-200-500,RD,1,64573
37-taxon,estimated-genetrees/0.5X-200-500,RAND,1,65245
37-taxon,estimated-genetrees/0.5X-200-500,MP,2,64785
37-taxon,estimated-genetrees/0.5X-200-500,MV,2,64785
37-taxon,estimated-genetrees/0.5X-200-500,OG,2,64785
37-taxon,estimated-genetrees/0.5X-200-500,RD,2,65373
37-taxon,estimated-genetrees/0.5X-200-500,RAND,2,66045
37-taxon,estimated-genetrees/0.5X-200-500,MP,3,65709
37-taxon,estimated-genetrees/0.5X-200-500,MV,3,65709
37-taxon,estimated-genetrees/0.5X-200-500,OG,3,65709
37-taxon,estimated-genetrees/0.5X-200-500,RD,3,65021
37-taxon,estimated-genetrees/0.5X-200-500,RAND,3,65083
37-taxon,estimated-genetrees/0.5X-200-500,MP,4,64545
37-taxon,estimated-genetrees/0.5X-200-500,MV,4,64545
37-taxon,estimated-genetrees/0.5X-200-500,OG,4,64545
37-taxon,estimated-genetrees/0.5X-200-500,RD,4,64481
37-taxon,estimated-genetrees/0.5X-200-500,RAND,4,65153
37-taxon,estimated-genetrees/0.5X-200-500,MP,5,64449
37-taxon,estimated-genetrees/0.5X-200-500,MV,5,64449
37-taxon,estimated-genetrees/0.5X-200-500,OG,5,64449
37-taxon,estimated-genetrees/0.5X-200-500,RD,5,64817
37-taxon,estimated-genetrees/0.5X-200-500,RAND,5,65613
37-taxon,estimated-genetrees/0.5X-200-500,MP,6,65805
37-taxon,estimated-genetrees/0.5X-200-500,MV,6,65805
37-taxon,estimated-genetrees/0.5X-200-500,OG,6,66045
37-taxon,estimated-genetrees/0.5X-200-500,RD,6,64175
37-taxon,estimated-genetrees/0.5X-200-500,RAND,6,65805
37-taxon,estimated-genetrees/0.5X-200-500,MP,7,65805
37-taxon,estimated-genetrees/0.5X-200-500,MV,7,65805
37-taxon,estimated-genetrees/0.5X-200-500,OG,7,65805
37-taxon,estimated-genetrees/0.5X-200-500,RD,7,64813
37-taxon,estimated-genetrees/0.5X-200-500,RAND,7,65709
37-taxon,estimated-genetrees/0.5X-200-500,MP,8,64479
37-taxon,estimated-genetrees/0.5X-200-500,MV,8,64545
37-taxon,estimated-genetrees/0.5X-200-500,OG,8,64479
37-taxon,estimated-genetrees/0.5X-200-500,RD,8,64731
37-taxon,estimated-genetrees/0.5X-200-500,RAND,8,66045
37-taxon,estimated-genetrees/0.5X-200-500,MP,9,64785
37-taxon,estimated-genetrees/0.5X-200-500,MV,9,64785
37-taxon,estimated-genetrees/0.5X-200-500,OG,9,64785
37-taxon,estimated-genetrees/0.5X-200-500,RD,9,65037
37-taxon,estimated-genetrees/0.5X-200-500,RAND,9,64689
37-taxon,estimated-genetrees/0.5X-200-500,MP,10,65805
37-taxon,estimated-genetrees/0.5X-200-500,MV,10,65805
37-taxon,estimated-genetrees/0.5X-200-500,OG,10,65805
37-taxon,estimated-genetrees/0.5X-200-500,RD,10,65373
37-taxon,estimated-genetrees/0.5X-200-500,RAND,10,66045
37-taxon,estimated-genetrees/0.5X-200-500,MP,11,64785
37-taxon,estimated-genetrees/0.5X-200-500,MV,11,64785
37-taxon,estimated-genetrees/0.5X-200-500,OG,11,64785
37-taxon,estimated-genetrees/0.5X-200-500,RD,11,64701
37-taxon,estimated-genetrees/0.5X-200-500,RAND,11,65373
37-taxon,estimated-genetrees/0.5X-200-500,MP,12,65709
37-taxon,estimated-genetrees/0.5X-200-500,MV,12,65709
37-taxon,estimated-genetrees/0.5X-200-500,OG,12,65709
37-taxon,estimated-genetrees/0.5X-200-500,RD,12,65373
37-taxon,estimated-genetrees/0.5X-200-500,RAND,12,64605
37-taxon,estimated-genetrees/0.5X-200-500,MP,13,65949
37-taxon,estimated-genetrees/0.5X-200-500,MV,13,65949
37-taxon,estimated-genetrees/0.5X-200-500,OG,13,65949
37-taxon,estimated-genetrees/0.5X-200-500,RD,13,65277
37-taxon,estimated-genetrees/0.5X-200-500,RAND,13,65277
37-taxon,estimated-genetrees/0.5X-200-500,MP,14,65709
37-taxon,estimated-genetrees/0.5X-200-500,MV,14,65709
37-taxon,estimated-genetrees/0.5X-200-500,OG,14,65709
37-taxon,estimated-genetrees/0.5X-200-500,RD,14,64941
37-taxon,estimated-genetrees/0.5X-200-500,RAND,14,65277
37-taxon,estimated-genetrees/0.5X-200-500,MP,15,65949
37-taxon,estimated-genetrees/0.5X-200-500,MV,15,65949
37-taxon,estimated-genetrees/0.5X-200-500,OG,15,65949
37-taxon,estimated-genetrees/0.5X-200-500,RD,15,65277
37-taxon,estimated-genetrees/0.5X-200-500,RAND,15,65277
37-taxon,estimated-genetrees/0.5X-200-500,MP,16,65805
37-taxon,estimated-genetrees/0.5X-200-500,MV,16,65805
37-taxon,estimated-genetrees/0.5X-200-500,OG,16,65805
37-taxon,estimated-genetrees/0.5X-200-500,RD,16,65585
37-taxon,estimated-genetrees/0.5X-200-500,RAND,16,66045
37-taxon,estimated-genetrees/0.5X-200-500,MP,17,65277
37-taxon,estimated-genetrees/0.5X-200-500,MV,17,65277
37-taxon,estimated-genetrees/0.5X-200-500,OG,17,65277
37-taxon,estimated-genetrees/0.5X-200-500,RD,17,64605
